Date,Time,Bucket Empty,Model,Serial No.,Volume Emptied (pts),Run (Guest AH),Run (Out Temp),AH (In) - AH (Out) [G],Temp (In) [G],Temp (Out) [G],Temp (Epan) [G],Temp (Guest) [G],Temp (Front) [G],AH (Guest) [G],AH (Front) [G],AH (EPan) [G],Temp (WxStn) [G],AH (WxStn) [G],AH (In) - AH (Out) [O],Temp (In)  [O],Temp (Out)  [O],Temp (Epan)  [O],Temp (Guest)  [O],Temp (Front)  [O],AH (Guest)  [O],AH (Front) [O],AH (EPan) [O],Temp (WxStn) [O],AH (WxStn) [O]
7/1/2016,15:37:00,2016-07-01 15:37:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/3/2016,22:42:00,2016-07-03 22:42:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2016,21:00:00,2016-07-04 21:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2016,20:26:00,2016-07-05 20:26:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2016,8:34:00,2016-07-07 08:34:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2016,8:40:00,2016-07-08 08:40:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/9/2016,13:00:00,2016-07-09 13:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/10/2016,6:56:00,2016-07-10 06:56:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2016,12:22:00,2016-07-11 12:22:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/12/2016,6:58:00,2016-07-12 06:58:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/13/2016,8:50:00,2016-07-13 08:50:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2016,6:10:00,2016-07-14 06:10:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2016,7:49:00,2016-07-15 07:49:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2016,23:23:00,2016-07-15 23:23:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/17/2016,8:00:00,2016-07-17 08:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/17/2016,21:20:00,2016-07-17 21:20:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/18/2016,22:09:00,2016-07-18 22:09:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/19/2016,21:20:00,2016-07-19 21:20:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/21/2016,0:15:00,2016-07-21 00:15:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/21/2016,19:39:00,2016-07-21 19:39:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/22/2016,17:44:00,2016-07-22 17:44:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/23/2016,12:53:00,2016-07-23 12:53:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/31/2016,19:23:00,2016-07-31 19:23:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2016,7:35:00,2016-08-01 07:35:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2016,6:12:00,2016-08-02 06:12:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2016,23:00:00,2016-08-02 23:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2019,22:12:00,2019-04-23 22:12:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2019,8:54:00,2019-04-26 08:54:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2019,8:43:00,2019-04-28 08:43:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2019,18:00:00,2019-05-02 18:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
5/5/2019,8:56:00,2019-05-05 08:56:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
5/6/2019,22:21:00,2019-05-06 22:21:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2019,9:04:00,2019-05-08 09:04:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
5/11/2019,18:03:00,2019-05-11 18:03:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2019,22:00:00,2019-05-13 22:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2019,19:19:00,2019-05-15 19:19:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
5/18/2019,7:56:00,2019-05-18 07:56:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2019,22:29:00,2019-05-19 22:29:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
5/20/2019,21:34:00,2019-05-20 21:34:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
5/25/2019,9:43:00,2019-05-25 09:43:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
